City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Mulanje,MW,-16.0316,35.5,73.36,83,87,3.96,light rain
253,Victoria,HK,22.2855,114.1577,59.25,74,15,3.0,few clouds
254,Magdagachi,RU,53.45,125.8,-0.17,79,99,5.93,overcast clouds
255,Conceicao Do Araguaia,BR,-8.2578,-49.2647,92.05,51,79,0.65,broken clouds
256,Saldanha,ZA,-33.0117,17.9442,75.25,68,0,23.64,clear sky
257,Pangoa,PE,-12.1167,-73.0,83.48,59,100,3.91,light rain
258,Ayan,RU,56.45,138.1667,-4.77,70,99,15.14,overcast clouds
259,Portland,US,45.5234,-122.6762,40.24,95,75,1.01,fog
260,General Roca,AR,-39.0333,-67.5833,83.62,36,67,10.47,broken clouds
261,San Andres,CO,12.5847,-81.7006,84.22,65,40,13.8,scattered clouds
262,Kouroussa,GN,10.65,-9.8833,93.9,8,0,4.43,clear sky
263,Yar-Sale,RU,66.8333,70.8333,6.1,97,100,2.8,light snow
264,Alihe,CN,50.5667,123.7167,-2.06,90,100,3.49,overcast clouds
265,Jiayuguan,CN,39.8167,98.3,15.4,43,100,5.64,overcast clouds
266,Agadez,NE,19.75,10.25,63.5,19,37,7.85,scattered clouds
267,Richards Bay,ZA,-28.783,32.0377,73.13,94,100,14.92,moderate rain
268,Pangnirtung,CA,66.1451,-65.7125,-14.8,70,75,16.11,broken clouds
269,Tilichiki,RU,60.4667,166.1,-5.39,83,87,8.21,overcast clouds
270,Neuquen,AR,-38.9516,-68.0591,78.69,38,75,10.36,broken clouds
271,Krasnyy Chikoy,RU,50.3643,108.7512,-10.05,100,88,2.98,overcast clouds
272,Nantucket,US,41.2835,-70.0995,51.15,95,100,29.08,moderate rain
273,Thinadhoo,MV,0.5333,72.9333,82.13,73,99,9.98,overcast clouds
274,Pisco,PE,-13.7,-76.2167,74.01,73,0,8.05,clear sky
275,Ngunguru,NZ,-35.6167,174.5,71.17,92,76,13.53,broken clouds
276,Maniitsoq,GL,65.4167,-52.9,6.55,86,100,13.18,light snow
277,Olhao,PT,37.0286,-7.8411,55.29,76,40,4.61,scattered clouds
278,Hami,CN,42.8,93.45,23.99,36,74,0.78,broken clouds
279,Kalmar,SE,56.6616,16.3616,41.14,98,100,12.66,overcast clouds
280,Kijang,KR,35.2442,129.2139,28.13,54,4,15.59,clear sky
281,San Quintin,MX,30.4833,-115.95,57.76,24,4,1.92,clear sky
282,Salalah,OM,17.0151,54.0924,72.52,65,0,1.34,clear sky
283,Coihaique,CL,-45.5752,-72.0662,66.81,45,20,8.05,few clouds
284,Kidal,ML,18.4411,1.4078,75.74,8,0,12.46,clear sky
285,Mahebourg,MU,-20.4081,57.7,80.26,94,75,13.8,broken clouds
286,Ribeira Grande,PT,38.5167,-28.7,61.2,82,40,16.11,scattered clouds
287,Launceston,AU,-41.45,147.1667,53.24,85,40,0.0,scattered clouds
288,Monte Patria,CL,-30.6919,-70.9467,82.47,31,0,10.2,clear sky
289,Rocha,UY,-34.4833,-54.3333,79.0,67,55,12.53,broken clouds
290,Dukat,RU,62.55,155.55,-17.27,69,67,8.21,broken clouds
291,Olafsvik,IS,64.8945,-23.7142,28.71,72,75,14.27,broken clouds
292,Vanimo,PG,-2.6741,141.3028,76.73,87,63,3.89,broken clouds
293,Fortuna,US,40.5982,-124.1573,44.65,95,100,1.99,overcast clouds
294,Opuwo,NA,-18.0607,13.84,83.16,24,53,18.86,broken clouds
295,Plainview,US,40.7765,-73.4673,39.58,83,100,3.0,moderate rain
296,Chivacoa,VE,10.1603,-68.895,87.19,44,73,5.19,broken clouds
297,Arlit,NE,18.7369,7.3853,72.3,9,35,3.6,scattered clouds
298,Mareeba,AU,-17.0,145.4333,72.32,95,100,3.15,light rain
299,Inhambane,MZ,-23.865,35.3833,82.38,69,20,13.0,few clouds
300,Pucallpa,PE,-8.3791,-74.5539,84.24,70,75,3.44,broken clouds
301,Pevek,RU,69.7008,170.3133,-24.41,100,93,3.85,overcast clouds
302,Gudur,IN,14.1333,79.85,73.78,85,41,7.61,scattered clouds
303,Lukovetskiy,RU,64.2956,41.9211,-4.02,100,92,2.37,overcast clouds
304,Boyolangu,ID,-8.1181,111.8935,76.69,86,97,2.51,overcast clouds
305,Ostrovnoy,RU,68.0531,39.5131,3.85,97,87,11.01,overcast clouds
